OrderID,OrderDate,State,City,ProductCode,SalesRep,Quantity,UnitPrice,TotalSales
SR1001,2/02/2026,Victoria,Melbourne,PR104,James Clark,1,69,69
SR1002,3/02/2026,Victoria,Geelong,PR102,Olivia White,2,249.99,499.98
SR1003,4/02/2026,Tasmania,Hobart,PR102,James Clark,1,9.99,9.99
SR1004,5/02/2026,South Australia,Adelaide,PR104,Noah Wilson,9,9.99,89.91
SR1005,6/02/2026,Tasmania,Hobart,PR105,Emma Lee,4,189,756
SR1006,7/02/2026,Victoria,Geelong,PR105,James Clark,7,79.99,559.93
SR1007,8/02/2026,South Australia,Adelaide,PR102,Daniel Smith,6,15.5,93
SR1008,9/02/2026,Victoria,Melbourne,PR105,Emma Lee,6,79.99,479.94
SR1009,10/02/2026,New South Wales,Sydney,PR107,Emma Lee,9,15.5,139.5
SR1010,11/02/2026,Western Australia,Perth,PR104,Noah Wilson,10,79.99,799.9
SR1011,12/02/2026,Victoria,Melbourne,PR105,Emma Lee,1,49.95,49.95
SR1012,13/02/2026,South Australia,Adelaide,PR105,Daniel Smith,2,129,258
SR1013,14/02/2026,Northern Territory,Darwin,PR106,James Clark,3,79.99,239.97
SR1014,15/02/2026,Western Australia,Perth,PR104,James Clark,2,18.75,37.5
SR1015,16/02/2026,New South Wales,Sydney,PR104,Noah Wilson,7,69,483
SR1016,17/02/2026,Northern Territory,Darwin,PR101,Sarah Brown,1,49.95,49.95
SR1017,18/02/2026,Tasmania,Hobart,PR104,Olivia White,5,15.5,77.5
SR1018,19/02/2026,Northern Territory,Darwin,PR107,Noah Wilson,4,189,756
SR1019,20/02/2026,New South Wales,Sydney,PR103,James Clark,3,69,207
SR1020,21/02/2026,Western Australia,Perth,PR107,Sarah Brown,10,129,1290
SR1021,22/02/2026,South Australia,Adelaide,PR108,Emma Lee,3,249.99,749.97
SR1022,23/02/2026,Queensland,Brisbane,PR103,Noah Wilson,2,18.75,37.5
SR1023,24/02/2026,Tasmania,Hobart,PR107,Daniel Smith,10,15.5,155
SR1024,25/02/2026,New South Wales,Sydney,PR101,Noah Wilson,9,69,621
SR1025,26/02/2026,Victoria,Melbourne,PR106,Emma Lee,9,69,621
